,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x3249ee,,0.0,,,,,,,0.6480000000000001,,,,,,,
0xc52f21,18.464080896000002,,,,-20.0,,,,,,,,,,,
0x17213d6,,,71.82725636694319,,,,,60.812439535057095,,,,,,,-71.26914724849846,
0x1817eb0,,,6.7192022016,,,,,,,,,,,72.23559126210276,0.0,
0x150a55d,,,,,,,,,,,,,,0.0,0.0,36.507681792
0x150a570,,,,,,,,,,,,,,,91.41006540800001,
0x150bd69,,,,,,,,1.1664,,,,8.424,,29.159999999999986,89.71465461978457,
0x150bb9b,,,,,,,,77.33362604802048,,,,89.99999999999994,,,,68.971840118784
0x150a24b,,,,,,,,,,,,,,,,99.99999999999997
0x947fa1,0.0,,0.0,,0.0,,,,0.0,,,,,,,
0xd566f7,0.0,,,,96.4815627911168,,,,,,,,,,,
0x9432b8,36.00362874794804,,,,21.2535159471267,,,,12.695155447936338,,,,2.8873243941964675,72.80268406495588,,
0xc52cf3,0.0,,,0.0,-3.6,,,,,,,,,44.27015228878012,,
0x27d78e1,,,,,,,,,,,,,,-36.0,,
0x17213a7,,,0.0,,,,,0.0,,,,,,43.04015999999732,,
0x1714834,,,0.0,,,,,,,,,,,0.0,,
0x150f211,,,,,,,,,,,,,,99.94929397599087,,
0xac0c8f,0.0,,,0.0,,,,,,,,,,,0.0,0.0
0x1445220,,,,0.0,,,,,,,,,,,20.0,0.0
0x4ffcc4,,,,,,,,0.0,,,,0.0,,0.0,,
0x2069501,,,,,,,,,,,,,,0.0,0.0,
0x2163242,,,0.0,,,,,,,,,-20.0,,,,
0x306168,0.0,,,,,,,,0.0,,,,,,,
0xd9cb36,0.0,,,,,,,0.0,,,,,,,,
0xd9e8a9,0.0,,,,,,,,,,,0.0,,0.0,,0.0
0xd9ff22,0.0,,,,,,,,,,,,,,,
0x1b240a1,,,,,,,,,,,,,,-20.0,,
0x7d478,,0.0,,-3.6,,,,0.0,,,,,,,,
0xfb775,,0.0,,,,,,0.0,,,,,0.0,,0.0,
0x1036aa,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
0xfe7fe,0.0,-20.0,,,,,,,,,,,,,,
0x89d800,20.0,,,,,,,,,,,,,,,
0x19f334d,,,,0.0,,,,,,,,,,0.0,,41.90785169856204
0x1a02b15,,,,0.0,0.0,,,,,,,,,,,0.0
0x1a591c8,,,,0.0,,,,,,,,,0.0,,,
0x1a2d656,,,,36.0,,,,,,,,,,,,
0x324726,,,,0.0,,,,,,,,,,,,0.0
0x1f0e1b3,,0.0,,,0.0,,,,,,,,,,,0.0
0x1f0f54f,,0.0,,,0.0,,,,,,,,0.0,,,
0x1f2bfc8,,0.0,,,,,,,,,,,0.0,,,
0x1f2b758,,36.0,,,,,,,,,,,,,,
0x7de50,0.0,,0.11716646318730901,,,,,,,,,,,,,
0xdf6a4c,,,,,,,,,,,,0.0,,,0.0,0.0
0xdf6a85,,,0.0,,,,,,,,,0.0,,,,0.0
0xf77217,,,,,,,,,,,,,,,,0.0
0x18a9ba3,,,,36.0,,,,,,,,,,,,
